# k: 10000, rounds: 100, e: 0.1, len_queries_train: 15712, n: 50
round,unique_hits,no_unique_entities,total_hits,total,accuracy,speed_summary
1,6848,7743,15322,16340,0.8844117267209092,116.91550254821777
2,6848,7942,15722,16968,0.8622513220851171,116.91550254821777
3,6848,8131,16133,17596,0.8422088304021645,116.91550254821777
4,6848,8290,16566,18224,0.8260554885404101,116.91550254821777
5,6848,8475,16980,18852,0.808023598820059,116.91550254821777
6,6848,8645,17392,19480,0.7921341816078659,116.91550254821777
7,6848,8808,17805,20108,0.7774750227066304,116.91550254821777
8,6848,8968,18208,20736,0.7636039250669046,116.91550254821777
9,6848,9101,18644,21364,0.7524447862872212,116.91550254821777
10,6848,9247,19076,21992,0.740564507407808,116.91550254821777
11,6848,9392,19491,22620,0.7291311754684838,116.91550254821777
12,6848,9526,19915,23248,0.7188746588284695,116.91550254821777
13,6848,9643,20346,23876,0.7101524421860417,116.91550254821777
14,6848,9774,20759,24504,0.700634335993452,116.91550254821777
15,6848,9902,21177,25132,0.6915774590991719,116.91550254821777
16,6848,10044,21571,25760,0.681800079649542,116.91550254821777
17,6848,10162,21971,26388,0.6738830938791577,116.91550254821777
18,6848,10266,22404,27016,0.667056302357296,116.91550254821777
19,6848,10366,22832,27644,0.6606212618174803,116.91550254821777
20,6848,10468,23250,28272,0.6541841803591899,116.91550254821777
21,6848,10568,23677,28900,0.647993943981832,116.91550254821777
22,6848,10667,24110,29528,0.6419799381269335,116.91550254821777
23,6848,10764,24521,30156,0.6361947231512449,116.91550254821777
24,6848,10868,24925,30784,0.6301067353698933,116.91550254821777
25,6848,10965,25337,31412,0.6245326037391701,116.91550254821777
26,6848,11058,25768,32040,0.6192801591607886,116.91550254821777
27,6848,11169,26181,32668,0.6131256155430208,116.91550254821777
28,6848,11274,26565,33296,0.607415291821891,116.91550254821777
29,6848,11364,26986,33924,0.6026047166490672,116.91550254821777
30,6848,11447,27418,34552,0.5982353455053726,116.91550254821777
31,6848,11536,27807,35180,0.5936199722607489,116.91550254821777
32,6848,11619,28218,35808,0.5893794646699372,116.91550254821777
33,6848,11694,28639,36436,0.5855994527107918,116.91550254821777
34,6848,11769,29051,37064,0.5818676183193134,116.91550254821777
35,6848,11865,29438,37692,0.5771597134428993,116.91550254821777
36,6848,11934,29854,38320,0.5738226914697503,116.91550254821777
37,6848,12007,30239,38948,0.5703339718497543,116.91550254821777
38,6848,12070,30668,39576,0.5673570836785419,116.91550254821777
39,6848,12140,31065,40204,0.5640856672158154,116.91550254821777
40,6848,12193,31489,40832,0.5616337242680226,116.91550254821777
41,6848,12252,31884,41460,0.5589291544237676,116.91550254821777
42,6848,12328,32280,42088,0.5554834523036989,116.91550254821777
43,6848,12390,32695,42716,0.5527037933817595,116.91550254821777
44,6848,12457,33124,43344,0.5497310748976479,116.91550254821777
45,6848,12523,33543,43972,0.5468338257606005,116.91550254821777
46,6848,12577,33954,44600,0.5444859664466885,116.91550254821777
47,6848,12636,34363,45228,0.5419436530547642,116.91550254821777
48,6848,12682,34782,45856,0.5399779214634916,116.91550254821777
49,6848,12735,35209,46484,0.5377306635257165,116.91550254821777
50,9958,12802,42942,47112,0.7778472113732229,126.9829969406128
51,9958,12844,43449,47740,0.7753036437246964,126.9829969406128
52,9958,12900,43946,48368,0.771937984496124,126.9829969406128
53,9958,12954,44449,48996,0.7687200864597807,126.9829969406128
54,9958,13011,44944,49624,0.7653523941280455,126.9829969406128
55,9958,13066,45464,50252,0.7621307209551508,126.9829969406128
56,9958,13101,45979,50880,0.760094649263415,126.9829969406128
57,9958,13147,46478,51508,0.7574351563094242,126.9829969406128
58,9958,13187,47005,52136,0.755137635550163,126.9829969406128
59,9958,13236,47495,52764,0.7523420973103657,126.9829969406128
60,9958,13273,48002,53392,0.7502448579823702,126.9829969406128
61,9958,13319,48499,54020,0.7476537277573392,126.9829969406128
62,9958,13359,48993,54648,0.7454150759787409,126.9829969406128
63,9958,13390,49497,55276,0.7436893203883496,126.9829969406128
64,9958,13426,50001,55904,0.7416952182332787,126.9829969406128
65,9958,13453,50525,56532,0.7402066453579127,126.9829969406128
66,9958,13482,51040,57160,0.7386144488948228,126.9829969406128
67,9958,13505,51552,57788,0.7373565346168086,126.9829969406128
68,9958,13535,52052,58416,0.7357222016992981,126.9829969406128
69,9958,13574,52538,59044,0.7336083689406218,126.9829969406128
70,9958,13594,53070,59672,0.732529056936884,126.9829969406128
71,9958,13622,53607,60300,0.7310233445896344,126.9829969406128
72,9958,13655,54118,60928,0.7292566825338703,126.9829969406128
73,9958,13688,54620,61556,0.7274985388661601,126.9829969406128
74,9958,13727,55121,62184,0.7254316310920085,126.9829969406128
75,9958,13757,55609,62812,0.7238496765283129,126.9829969406128
76,9958,13794,56108,63440,0.7219080759750616,126.9829969406128
77,9958,13824,56607,64068,0.7203414351851852,126.9829969406128
78,9958,13842,57103,64696,0.7194047103019795,126.9829969406128
79,9958,13869,57612,65324,0.7180041819886077,126.9829969406128
80,9958,13893,58130,65952,0.7167638379039805,126.9829969406128
81,9958,13924,58637,66580,0.7151680551565642,126.9829969406128
82,9958,13952,59152,67208,0.7137327981651376,126.9829969406128
83,9958,13978,59655,67836,0.7124052081842897,126.9829969406128
84,9958,13997,60156,68464,0.7114381653211402,126.9829969406128
85,9958,14024,60654,69092,0.7100684540787222,126.9829969406128
86,9958,14051,61166,69720,0.708704006832254,126.9829969406128
87,9958,14078,61685,70348,0.7073447932945021,126.9829969406128
88,9958,14103,62199,70976,0.7060909026448273,126.9829969406128
89,9958,14136,62688,71604,0.704442558007923,126.9829969406128
90,9958,14157,63189,72232,0.7033976124885216,126.9829969406128
91,9958,14170,63690,72860,0.7027522935779816,126.9829969406128
92,9958,14195,64194,73488,0.7015146178231771,126.9829969406128
93,9958,14211,64699,74116,0.7007247906551263,126.9829969406128
94,9958,14242,65192,74744,0.6991995506249122,126.9829969406128
95,9958,14260,65713,75372,0.6983169705469846,126.9829969406128
96,9958,14274,66225,76000,0.697632058287796,126.9829969406128
97,9958,14288,66721,76628,0.6969484882418813,126.9829969406128
98,9958,14309,67234,77256,0.6959256412048361,126.9829969406128
99,9958,14331,67742,77884,0.6948573023515456,126.9829969406128
100,10000,14353,70105,78512,0.6967184560719013,119.112788438797
